code,name,date,high,prior_52w_high
319A0,株式会社技術承継機構,2026-01-09,11920.0,11650.0
319A0,株式会社技術承継機構,2026-01-13,12490.0,11920.0
319A0,株式会社技術承継機構,2026-01-19,12740.0,12490.0
319A0,株式会社技術承継機構,2026-01-20,12750.0,12740.0
319A0,株式会社技術承継機構,2026-03-02,13690.0,12750.0
319A0,株式会社技術承継機構,2026-03-06,13770.0,13690.0
319A0,株式会社技術承継機構,2026-03-10,14180.0,13770.0
319A0,株式会社技術承継機構,2026-04-20,14210.0,14180.0
319A0,株式会社技術承継機構,2026-05-07,15560.0,14210.0
319A0,株式会社技術承継機構,2026-05-18,16280.0,15560.0
319A0,株式会社技術承継機構,2026-05-19,19600.0,16280.0
319A0,株式会社技術承継機構,2026-07-13,20800.0,19600.0
319A0,株式会社技術承継機構,2026-07-14,20940.0,20800.0
319A0,株式会社技術承継機構,2026-07-15,21300.0,20940.0
319A0,株式会社技術承継機構,2026-08-14,21800.0,21300.0
319A0,株式会社技術承継機構,2026-08-17,22700.0,21800.0
33000,株式会社アンビションＤＸホールディングス,2025-08-05,2482.0,2460.0
33000,株式会社アンビションＤＸホールディングス,2025-08-06,2484.0,2482.0
33000,株式会社アンビションＤＸホールディングス,2025-08-08,2500.0,2484.0
33000,株式会社アンビションＤＸホールディングス,2025-08-12,2520.0,2500.0
33000,株式会社アンビションＤＸホールディングス,2025-08-13,2522.0,2520.0
33000,株式会社アンビションＤＸホールディングス,2025-08-14,2961.0,2522.0
33590,株式会社ｃｏｔｔａ,2025-08-22,524.0,511.0
33590,株式会社ｃｏｔｔａ,2025-08-25,571.0,524.0
33590,株式会社ｃｏｔｔａ,2025-08-26,586.0,571.0
33590,株式会社ｃｏｔｔａ,2025-08-27,599.0,586.0
33590,株式会社ｃｏｔｔａ,2025-08-29,610.0,599.0
33590,株式会社ｃｏｔｔａ,2025-09-01,615.0,610.0
33590,株式会社ｃｏｔｔａ,2025-09-05,616.0,615.0
34790,株式会社ＴＫＰ,2025-08-15,2200.0,2182.0
34790,株式会社ＴＫＰ,2026-01-26,2294.0,2200.0
34790,株式会社ＴＫＰ,2026-01-27,2350.0,2294.0
34790,株式会社ＴＫＰ,2026-01-28,2363.0,2350.0
34790,株式会社ＴＫＰ,2026-01-30,2377.0,2363.0
34790,株式会社ＴＫＰ,2026-02-02,2415.0,2377.0
34790,株式会社ＴＫＰ,2026-02-03,2420.0,2415.0
34790,株式会社ＴＫＰ,2026-02-09,2425.0,2420.0
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,2025-08-06,2079.0,2053.0
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,2025-08-07,2117.0,2079.0
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,2025-08-08,2151.0,2117.0
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,2025-08-13,2154.0,2151.0
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,2025-08-14,2164.0,2154.0
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,2025-08-18,2219.0,2164.0
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,2025-08-19,2228.0,2219.0
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,2025-08-21,2238.0,2228.0
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,2025-09-09,2255.0,2238.0
34910,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,2025-09-12,2559.0,2255.0
35420,株式会社ベガコーポレーション,2025-08-18,2370.0,2368.0
35420,株式会社ベガコーポレーション,2025-08-19,2374.0,2370.0
35420,株式会社ベガコーポレーション,2025-08-20,2380.0,2374.0
35420,株式会社ベガコーポレーション,2025-08-22,2394.0,2380.0
35420,株式会社ベガコーポレーション,2025-08-25,2403.0,2394.0
35420,株式会社ベガコーポレーション,2025-08-27,2410.0,2403.0
35660,ユニフォームネクスト株式会社,2025-11-05,686.0,658.0
35660,ユニフォームネクスト株式会社,2025-11-06,720.0,686.0
35660,ユニフォームネクスト株式会社,2026-02-04,741.0,720.0
35660,ユニフォームネクスト株式会社,2026-02-05,759.0,741.0
35660,ユニフォームネクスト株式会社,2026-04-13,779.0,759.0
35660,ユニフォームネクスト株式会社,2026-04-14,843.0,779.0
35660,ユニフォームネクスト株式会社,2026-05-07,860.0,843.0
35660,ユニフォームネクスト株式会社,2026-05-08,956.0,860.0
35660,ユニフォームネクスト株式会社,2026-06-05,973.0,956.0
35660,ユニフォームネクスト株式会社,2026-06-08,1060.0,973.0
36920,株式会社ＦＦＲＩセキュリティ,2025-08-14,6900.0,6810.0
36920,株式会社ＦＦＲＩセキュリティ,2025-08-15,7900.0,6900.0
36920,株式会社ＦＦＲＩセキュリティ,2025-09-19,7980.0,7900.0
36920,株式会社ＦＦＲＩセキュリティ,2025-09-22,9140.0,7980.0
36920,株式会社ＦＦＲＩセキュリティ,2025-10-06,9170.0,9140.0
36920,株式会社ＦＦＲＩセキュリティ,2025-10-07,10020.0,9170.0
36920,株式会社ＦＦＲＩセキュリティ,2025-10-09,10790.0,10020.0
36920,株式会社ＦＦＲＩセキュリティ,2025-10-10,11100.0,10790.0
36920,株式会社ＦＦＲＩセキュリティ,2025-10-16,11890.0,11100.0
36920,株式会社ＦＦＲＩセキュリティ,2025-10-20,13290.0,11890.0
36920,株式会社ＦＦＲＩセキュリティ,2025-10-21,13800.0,13290.0
39040,株式会社カヤック,2025-11-25,570.0,510.0
39040,株式会社カヤック,2025-11-26,576.0,570.0
39040,株式会社カヤック,2025-11-27,600.0,576.0
39040,株式会社カヤック,2025-12-02,606.0,600.0
39270,株式会社フーバーブレイン,2026-03-10,1068.0,1043.0
39270,株式会社フーバーブレイン,2026-03-11,1072.0,1068.0
39270,株式会社フーバーブレイン,2026-03-13,1136.0,1072.0
39270,株式会社フーバーブレイン,2026-03-18,1160.0,1136.0
39270,株式会社フーバーブレイン,2026-03-23,1200.0,1160.0
39270,株式会社フーバーブレイン,2026-03-24,1234.0,1200.0
39270,株式会社フーバーブレイン,2026-03-25,1250.0,1234.0
39270,株式会社フーバーブレイン,2026-03-26,1270.0,1250.0
39270,株式会社フーバーブレイン,2026-03-27,1280.0,1270.0
39290,ソーシャルワイヤー株式会社,2025-09-01,330.0,329.0
39290,ソーシャルワイヤー株式会社,2026-02-24,333.0,330.0
39290,ソーシャルワイヤー株式会社,2026-04-27,344.0,333.0
39290,ソーシャルワイヤー株式会社,2026-05-12,348.0,344.0
39290,ソーシャルワイヤー株式会社,2026-05-13,350.0,348.0
39290,ソーシャルワイヤー株式会社,2026-05-14,360.0,350.0
39290,ソーシャルワイヤー株式会社,2026-05-18,375.0,360.0
39790,株式会社うるる,2025-08-29,1747.0,1733.0
40130,勤次郎株式会社,2025-08-07,1043.0,1019.0
40130,勤次郎株式会社,2025-08-13,1098.0,1043.0
40130,勤次郎株式会社,2025-08-15,1116.0,1098.0
40130,勤次郎株式会社,2025-08-21,1155.0,1116.0
40130,勤次郎株式会社,2025-08-22,1177.0,1155.0
40130,勤次郎株式会社,2025-08-25,1220.0,1177.0
40130,勤次郎株式会社,2025-08-28,1245.0,1220.0
40130,勤次郎株式会社,2025-08-29,1285.0,1245.0
40130,勤次郎株式会社,2025-09-08,1324.0,1285.0
40130,勤次郎株式会社,2025-09-16,1349.0,1324.0
40130,勤次郎株式会社,2025-09-18,1430.0,1349.0
40130,勤次郎株式会社,2025-09-19,1485.0,1430.0
40130,勤次郎株式会社,2025-09-22,1496.0,1485.0
40130,勤次郎株式会社,2025-09-24,1530.0,1496.0
40190,株式会社スタメン,2025-08-05,1243.0,1131.0
40190,株式会社スタメン,2025-08-15,1399.0,1243.0
40190,株式会社スタメン,2025-08-18,1490.0,1399.0
40190,株式会社スタメン,2025-08-19,1495.0,1490.0
40190,株式会社スタメン,2025-08-20,1519.0,1495.0
40580,トヨクモ株式会社,2025-08-13,3755.0,3470.0
40580,トヨクモ株式会社,2025-08-15,3795.0,3755.0
40760,株式会社シイエヌエス,2026-08-12,1900.0,1895.0
40760,株式会社シイエヌエス,2026-08-13,1945.0,1900.0
40760,株式会社シイエヌエス,2026-08-14,1986.0,1945.0
40760,株式会社シイエヌエス,2026-08-17,1990.0,1986.0
40760,株式会社シイエヌエス,2026-08-18,1993.0,1990.0
40760,株式会社シイエヌエス,2026-08-26,2018.0,1993.0
40760,株式会社シイエヌエス,2026-08-27,2025.0,2018.0
421A0,株式会社ムービン・ストラテジック・キャリア,2025-10-08,2740.0,2735.0
421A0,株式会社ムービン・ストラテジック・キャリア,2025-10-09,2900.0,2740.0
421A0,株式会社ムービン・ストラテジック・キャリア,2025-10-10,3000.0,2900.0
421A0,株式会社ムービン・ストラテジック・キャリア,2025-10-27,3100.0,3000.0
421A0,株式会社ムービン・ストラテジック・キャリア,2025-11-13,3260.0,3100.0
421A0,株式会社ムービン・ストラテジック・キャリア,2025-11-14,3580.0,3260.0
421A0,株式会社ムービン・ストラテジック・キャリア,2025-11-18,3635.0,3580.0
421A0,株式会社ムービン・ストラテジック・キャリア,2026-07-01,3655.0,3635.0
421A0,株式会社ムービン・ストラテジック・キャリア,2026-07-02,3955.0,3655.0
421A0,株式会社ムービン・ストラテジック・キャリア,2026-07-07,3990.0,3955.0
421A0,株式会社ムービン・ストラテジック・キャリア,2026-07-09,4015.0,3990.0
421A0,株式会社ムービン・ストラテジック・キャリア,2026-07-10,4120.0,4015.0
