code,name,seq,entry_date,entry_price,true_high_date,true_high_price,hold_days,worst_drawdown_pct,worst_drawdown_date,final_return_pct
33000,株式会社アンビションＤＸホールディングス,26,2024-08-14,1362.0,2024-11-19,2190.0,97,0.0,,60.79
33000,株式会社アンビションＤＸホールディングス,27,2024-08-15,1585.0,2024-11-19,2190.0,96,-4.67,2024-08-21,38.17
33000,株式会社アンビションＤＸホールディングス,28,2024-08-26,1695.0,2024-11-19,2190.0,85,-4.72,2024-09-11,29.2
33000,株式会社アンビションＤＸホールディングス,29,2024-08-27,1706.0,2024-11-19,2190.0,84,-5.33,2024-09-11,28.37
33000,株式会社アンビションＤＸホールディングス,36,2024-11-14,2040.0,2024-11-19,2190.0,5,-4.75,2024-11-15,7.35
33000,株式会社アンビションＤＸホールディングス,37,2024-11-15,1998.0,2024-11-19,2190.0,4,-1.0,2024-11-18,9.61
33000,株式会社アンビションＤＸホールディングス,38,2024-11-18,2125.0,2024-11-19,2190.0,1,-1.18,2024-11-19,3.06
35420,株式会社ベガコーポレーション,15,2025-06-04,1336.0,2025-06-27,1782.0,23,-3.89,2025-06-05,33.38
35420,株式会社ベガコーポレーション,16,2025-06-09,1345.0,2025-06-27,1782.0,18,0.0,,32.49
35420,株式会社ベガコーポレーション,17,2025-06-10,1388.0,2025-06-27,1782.0,17,-2.45,2025-06-13,28.39
35420,株式会社ベガコーポレーション,18,2025-06-11,1404.0,2025-06-27,1782.0,16,-3.56,2025-06-13,26.92
35420,株式会社ベガコーポレーション,19,2025-06-12,1411.0,2025-06-27,1782.0,15,-4.04,2025-06-13,26.29
35420,株式会社ベガコーポレーション,20,2025-06-16,1435.0,2025-06-27,1782.0,11,-2.3,2025-06-17,24.18
35420,株式会社ベガコーポレーション,21,2025-06-18,1468.0,2025-06-27,1782.0,9,-1.02,2025-06-19,21.39
35420,株式会社ベガコーポレーション,22,2025-06-19,1539.0,2025-06-27,1782.0,8,-2.53,2025-06-20,15.79
35420,株式会社ベガコーポレーション,23,2025-06-20,1558.0,2025-06-27,1782.0,7,-2.95,2025-06-23,14.38
35420,株式会社ベガコーポレーション,24,2025-06-23,1557.0,2025-06-27,1782.0,4,-0.96,2025-06-24,14.45
35420,株式会社ベガコーポレーション,25,2025-06-24,1581.0,2025-06-27,1782.0,3,-0.82,2025-06-25,12.71
35420,株式会社ベガコーポレーション,26,2025-06-25,1615.0,2025-06-27,1782.0,2,-2.48,2025-06-26,10.34
35420,株式会社ベガコーポレーション,27,2025-06-26,1615.0,2025-06-27,1782.0,1,0.0,,10.34
35560,リネットジャパングループ株式会社,9,2025-05-15,338.0,2025-06-06,543.0,22,-0.89,2025-05-16,60.65
35560,リネットジャパングループ株式会社,10,2025-05-19,353.0,2025-06-06,543.0,18,0.0,,53.82
35560,リネットジャパングループ株式会社,11,2025-05-20,379.0,2025-06-06,543.0,17,-0.53,2025-05-21,43.27
35560,リネットジャパングループ株式会社,13,2025-05-23,389.0,2025-06-06,543.0,14,0.0,,39.59
35560,リネットジャパングループ株式会社,14,2025-05-29,423.0,2025-06-06,543.0,8,-2.36,2025-06-02,28.37
35560,リネットジャパングループ株式会社,15,2025-06-02,414.0,2025-06-06,543.0,4,0.0,,31.16
35560,リネットジャパングループ株式会社,16,2025-06-03,474.0,2025-06-06,543.0,3,0.0,,14.56
35560,リネットジャパングループ株式会社,17,2025-06-04,498.0,2025-06-06,543.0,2,-3.61,2025-06-06,9.04
35560,リネットジャパングループ株式会社,18,2025-06-05,499.0,2025-06-06,543.0,1,-3.81,2025-06-06,8.82
36920,株式会社ＦＦＲＩセキュリティ,5,2024-02-14,1739.0,2025-05-16,5010.0,457,-6.96,2024-08-05,188.1
36920,株式会社ＦＦＲＩセキュリティ,6,2024-02-15,1730.0,2025-05-16,5010.0,456,-6.47,2024-08-05,189.6
36920,株式会社ＦＦＲＩセキュリティ,23,2025-05-15,4305.0,2025-05-16,5010.0,1,0.0,,16.38
39050,データセクション株式会社,4,2024-01-12,485.0,2024-01-17,738.0,5,0.0,,52.16
39050,データセクション株式会社,5,2024-01-15,565.0,2024-01-17,738.0,2,0.0,,30.62
40750,ブレインズテクノロジー株式会社,10,2026-03-09,1126.0,2026-03-12,1680.0,3,0.0,,49.2
40750,ブレインズテクノロジー株式会社,11,2026-03-10,1316.0,2026-03-12,1680.0,2,-3.65,2026-03-11,27.66
40750,ブレインズテクノロジー株式会社,12,2026-03-11,1429.0,2026-03-12,1680.0,1,-5.53,2026-03-12,17.56
42550,ＴＨＥＣＯＯ株式会社,6,2025-08-13,940.0,2025-11-25,1888.0,104,-6.38,2025-08-14,100.85
42550,ＴＨＥＣＯＯ株式会社,7,2025-08-14,929.0,2025-11-25,1888.0,103,-3.44,2025-08-15,103.23
42550,ＴＨＥＣＯＯ株式会社,10,2025-11-14,1461.0,2025-11-25,1888.0,11,0.0,,29.23
42590,株式会社エクサウィザーズ,7,2025-09-19,565.0,2025-11-12,743.0,54,-5.66,2025-09-25,31.5
42590,株式会社エクサウィザーズ,8,2025-10-06,578.0,2025-11-12,743.0,37,-2.08,2025-10-14,28.55
42590,株式会社エクサウィザーズ,9,2025-10-07,600.0,2025-11-12,743.0,36,-5.67,2025-10-14,23.83
42590,株式会社エクサウィザーズ,11,2025-10-28,632.0,2025-11-12,743.0,15,-4.75,2025-10-30,17.56
44120,株式会社サイエンスアーツ,8,2025-04-15,834.0,2025-07-10,1241.0,86,-3.24,2025-05-02,48.8
44120,株式会社サイエンスアーツ,10,2025-05-14,984.0,2025-07-10,1241.0,57,0.0,,26.12
44120,株式会社サイエンスアーツ,11,2025-05-15,1039.0,2025-07-10,1241.0,56,-3.27,2025-05-16,19.44
44120,株式会社サイエンスアーツ,12,2025-05-19,1047.0,2025-07-10,1241.0,52,-3.53,2025-07-03,18.53
44120,株式会社サイエンスアーツ,13,2025-05-20,1080.0,2025-07-10,1241.0,51,-6.48,2025-07-03,14.91
44180,株式会社ＪＤＳＣ,23,2025-10-21,1381.0,2025-10-23,1946.0,2,0.0,,40.91
44180,株式会社ＪＤＳＣ,24,2025-10-22,1665.0,2025-10-23,1946.0,1,-1.92,2025-10-23,16.88
44790,株式会社マクアケ,3,2025-06-05,854.0,2025-08-27,1345.0,83,-1.87,2025-06-09,57.49
44790,株式会社マクアケ,4,2025-06-06,878.0,2025-08-27,1345.0,82,-4.56,2025-06-09,53.19
44790,株式会社マクアケ,5,2025-06-09,862.0,2025-08-27,1345.0,79,-1.62,2025-07-03,56.03
44790,株式会社マクアケ,9,2025-07-25,968.0,2025-08-27,1345.0,33,-4.96,2025-07-29,38.95
44790,株式会社マクアケ,10,2025-07-28,950.0,2025-08-27,1345.0,30,-3.16,2025-07-29,41.58
44790,株式会社マクアケ,11,2025-07-30,1030.0,2025-08-27,1345.0,28,-5.05,2025-08-04,30.58
44790,株式会社マクアケ,12,2025-08-04,1089.0,2025-08-27,1345.0,23,0.0,,23.51
44790,株式会社マクアケ,13,2025-08-05,1137.0,2025-08-27,1345.0,22,-3.69,2025-08-15,18.29
44790,株式会社マクアケ,14,2025-08-06,1145.0,2025-08-27,1345.0,21,-4.37,2025-08-15,17.47
45700,株式会社免疫生物研究所,3,2023-07-10,591.0,2023-08-14,929.0,35,-4.74,2023-07-11,57.19
45700,株式会社免疫生物研究所,6,2023-08-09,779.0,2023-08-14,929.0,5,-2.18,2023-08-14,19.26
45700,株式会社免疫生物研究所,7,2023-08-10,804.0,2023-08-14,929.0,4,-5.22,2023-08-14,15.55
45790,ラクオリア創薬株式会社,2,2025-11-25,689.0,2025-11-28,904.0,3,-2.03,2025-11-26,31.2
45790,ラクオリア創薬株式会社,3,2025-11-26,750.0,2025-11-28,904.0,2,-2.8,2025-11-27,20.53
45790,ラクオリア創薬株式会社,4,2025-11-27,754.0,2025-11-28,904.0,1,0.0,,19.89
50290,サークレイス株式会社,2,2025-01-22,888.0,2025-04-24,1379.0,92,-5.86,2025-01-29,55.29
50290,サークレイス株式会社,5,2025-01-30,906.0,2025-04-24,1379.0,84,-4.3,2025-04-07,52.21
50290,サークレイス株式会社,8,2025-04-23,1190.0,2025-04-24,1379.0,1,-2.02,2025-04-24,15.88
50310,モイ株式会社,4,2026-05-21,437.0,2026-05-22,747.0,1,0.0,,70.94
