code,entry_date,entry_price,outcome,outcome_date,outcome_pct,hold_days
218A0,2025-08-15,2007.0,STOPPED,2025-10-10,-15.79,56
218A0,2025-08-18,2240.0,STOPPED,2025-08-20,-10.98,2
218A0,2025-08-19,2150.0,STOPPED,2025-08-21,-10.42,2
218A0,2025-09-02,2210.0,STOPPED,2025-10-09,-14.43,37
218A0,2025-09-08,2416.0,STOPPED,2025-10-08,-13.0,30
218A0,2025-09-16,2502.0,STOPPED,2025-09-17,-8.59,1
218A0,2025-09-22,2692.0,STOPPED,2025-10-01,-11.07,9
25860,2024-08-15,86.0,STOPPED,2024-08-16,-20.93,1
25860,2024-08-27,102.0,STOPPED,2024-09-04,-21.57,8
25860,2024-08-28,117.0,STOPPED,2024-08-29,-14.53,1
25860,2024-09-17,131.0,STOPPED,2024-09-18,-12.98,1
25860,2024-10-24,153.0,STOPPED,2024-12-06,-9.15,43
25860,2024-10-25,156.0,STOPPED,2024-12-06,-10.9,42
25860,2024-10-29,174.0,STOPPED,2024-12-05,-13.79,37
25860,2024-10-30,211.0,STOPPED,2024-11-13,-11.37,14
25860,2024-10-31,244.0,STOPPED,2024-11-01,-9.02,1
25860,2024-11-06,284.0,STOPPED,2024-11-08,-25.35,2
25860,2024-11-07,284.0,STOPPED,2024-11-08,-25.35,1
25860,2025-07-07,321.0,STOPPED,2025-07-14,-9.66,7
25860,2025-07-08,340.0,STOPPED,2025-07-14,-14.71,6
25860,2025-07-09,395.0,STOPPED,2025-07-10,-15.44,1
25860,2025-08-13,415.0,STOPPED,2025-08-15,-17.35,2
25860,2025-08-14,423.0,STOPPED,2025-08-15,-18.91,1
280A0,2026-05-12,1749.0,STOPPED,2026-07-16,-19.78,65
280A0,2026-05-22,1920.0,STOPPED,2026-07-14,-11.2,53
280A0,2026-05-25,2320.0,STOPPED,2026-06-08,-11.21,14
280A0,2026-05-26,2799.0,STOPPED,2026-05-27,-14.26,1
280A0,2026-05-27,2498.0,STOPPED,2026-05-28,-8.73,1
29980,2023-05-16,4360.0,STOPPED,2023-05-18,-10.09,2
29980,2023-05-17,4120.0,STOPPED,2023-09-21,-13.23,127
29980,2023-05-22,4550.0,STOPPED,2023-09-12,-10.66,113
29980,2023-05-23,4530.0,STOPPED,2023-09-12,-10.26,112
29980,2023-05-24,4575.0,STOPPED,2023-09-11,-8.42,110
29980,2023-05-26,4605.0,STOPPED,2023-09-11,-9.01,108
29980,2023-05-29,4945.0,STOPPED,2023-09-11,-15.27,105
29980,2023-05-30,5300.0,STOPPED,2023-09-08,-10.28,101
29980,2023-05-31,5230.0,STOPPED,2023-09-08,-9.08,100
29980,2023-06-01,5690.0,STOPPED,2023-09-07,-10.54,98
29980,2023-06-02,5850.0,STOPPED,2023-09-07,-12.99,97
29980,2023-06-05,6610.0,STOPPED,2023-06-08,-9.38,3
29980,2023-06-06,6870.0,STOPPED,2023-06-08,-12.81,2
29980,2023-06-07,7490.0,STOPPED,2023-06-08,-20.03,1
29980,2023-06-23,7390.0,STOPPED,2023-06-26,-10.01,3
29980,2023-06-28,7850.0,STOPPED,2023-07-21,-12.1,23
29980,2023-06-29,7800.0,STOPPED,2023-07-21,-11.54,22
29980,2023-06-30,8720.0,STOPPED,2023-07-06,-13.76,6
29980,2023-08-15,8300.0,STOPPED,2023-08-16,-10.84,1
29980,2025-05-09,5170.0,STOPPED,2025-07-03,-12.77,55
29980,2025-05-12,5300.0,STOPPED,2025-07-02,-9.43,51
29980,2025-05-14,5380.0,STOPPED,2025-07-02,-10.78,49
29980,2025-05-15,5510.0,STOPPED,2025-07-01,-9.26,47
29980,2025-05-16,6150.0,STOPPED,2025-05-26,-10.73,10
29980,2025-05-19,6410.0,STOPPED,2025-05-23,-10.92,4
29980,2025-05-21,6160.0,STOPPED,2025-05-26,-10.88,5
29980,2025-08-20,6540.0,STOPPED,2025-09-24,-8.1,35
29980,2025-08-21,6800.0,STOPPED,2025-09-22,-9.26,32
29980,2025-08-22,7150.0,STOPPED,2025-08-28,-9.93,6
319A0,2026-03-02,13630.0,STOPPED,2026-03-04,-12.33,2
319A0,2026-03-06,13500.0,STOPPED,2026-03-09,-10.59,3
319A0,2026-03-10,13860.0,STOPPED,2026-03-19,-10.97,9
319A0,2026-04-20,13750.0,TIMEOUT,,,
319A0,2026-05-07,14950.0,STOPPED,2026-05-13,-9.36,6
319A0,2026-05-18,16280.0,STOPPED,2026-07-30,-10.38,73
319A0,2026-05-19,17430.0,STOPPED,2026-05-20,-9.93,1
319A0,2026-07-13,19540.0,STOPPED,2026-07-17,-11.98,4
319A0,2026-07-14,20370.0,STOPPED,2026-07-16,-9.62,2
319A0,2026-07-15,20660.0,STOPPED,2026-07-16,-10.89,1
319A0,2026-08-14,20380.0,STOPPED,2026-08-18,-11.63,4
319A0,2026-08-17,19300.0,STOPPED,2026-08-19,-13.83,2
33000,2023-02-15,629.0,TIMEOUT,,,
33000,2023-02-20,678.0,TIMEOUT,,,
33000,2023-02-21,685.0,TIMEOUT,,,
33000,2023-03-03,702.0,TIMEOUT,,,
33000,2023-03-06,718.0,TIMEOUT,,,
33000,2023-03-07,723.0,TIMEOUT,,,
33000,2023-03-09,721.0,TIMEOUT,,,
33000,2023-05-12,744.0,TIMEOUT,,,
33000,2023-05-15,730.0,TIMEOUT,,,
33000,2023-05-16,803.0,STOPPED,2023-10-24,-11.96,161
33000,2023-05-17,821.0,STOPPED,2023-10-04,-8.89,140
33000,2023-05-18,799.0,STOPPED,2023-10-24,-11.51,159
33000,2023-05-22,816.0,STOPPED,2023-10-04,-8.33,135
33000,2023-05-26,860.0,STOPPED,2023-08-15,-8.26,81
33000,2023-05-29,891.0,STOPPED,2023-08-15,-11.45,78
33000,2023-05-30,919.0,STOPPED,2023-07-10,-8.05,41
33000,2023-06-20,915.0,STOPPED,2023-08-15,-13.77,56
33000,2023-07-20,925.0,STOPPED,2023-08-03,-8.0,14
33000,2023-07-28,940.0,STOPPED,2023-08-03,-9.47,6
33000,2024-04-22,975.0,STOPPED,2024-05-29,-9.13,37
33000,2024-04-23,976.0,STOPPED,2024-05-29,-9.22,36
33000,2024-06-21,1031.0,STOPPED,2024-08-05,-21.24,45
33000,2024-06-24,1027.0,STOPPED,2024-08-05,-20.93,42
33000,2024-06-25,1044.0,STOPPED,2024-08-05,-22.22,41
33000,2024-08-13,1062.0,TIMEOUT,,,
33000,2024-08-14,1362.0,TIMEOUT,,,
33000,2024-08-15,1585.0,TIMEOUT,,,
33000,2024-08-26,1695.0,TIMEOUT,,,
33000,2024-08-27,1706.0,TIMEOUT,,,
33000,2024-08-29,1776.0,STOPPED,2024-09-11,-9.07,13
33000,2024-08-30,1820.0,STOPPED,2024-09-09,-9.07,10
33000,2024-09-02,1836.0,STOPPED,2024-09-09,-9.86,7
33000,2024-09-19,1873.0,STOPPED,2025-04-07,-9.24,200
33000,2024-09-27,1997.0,STOPPED,2024-09-30,-8.51,3
33000,2024-10-03,1975.0,STOPPED,2024-10-18,-11.29,15
33000,2024-11-14,2040.0,STOPPED,2025-02-14,-8.33,92
33000,2024-11-15,1998.0,STOPPED,2025-04-07,-14.91,143
33000,2024-11-18,2125.0,STOPPED,2025-02-14,-12.0,88
33000,2024-11-19,2140.0,STOPPED,2025-02-14,-12.62,87
33000,2024-11-20,2133.0,STOPPED,2025-02-14,-12.33,86
